"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTML hreflang 2","HTML hreflang 2 URL","HTML hreflang 3","HTML hreflang 3 URL","HTTP hreflang 1","HTTP hreflang 1 URL","HTTP hreflang 2","HTTP hreflang 2 URL","HTTP hreflang 3","HTTP hreflang 3 URL","HTTP hreflang 4","HTTP hreflang 4 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://detectordeia.pro/","VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/","en","https://detectordeia.pro/en/","pt-br","https://detectordeia.pro/pt-br/","es","https://detectordeia.pro/","en","https://detectordeia.pro/en","pt-br","https://detectordeia.pro/pt-br","x-default","https://detectordeia.pro/","","","Indexable",""
"https://detectordeia.pro/privacy","Política de Privacidad | VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/privacy","en","https://detectordeia.pro/en/privacy","pt-br","https://detectordeia.pro/pt-br/privacy","es","https://detectordeia.pro/privacy","en","https://detectordeia.pro/en/privacy","pt-br","https://detectordeia.pro/pt-br/privacy","x-default","https://detectordeia.pro/privacy","","","Indexable",""
"https://detectordeia.pro/cookie","Política de Cookies | VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/cookie","en","https://detectordeia.pro/en/cookie","pt-br","https://detectordeia.pro/pt-br/cookie","es","https://detectordeia.pro/cookie","en","https://detectordeia.pro/en/cookie","pt-br","https://detectordeia.pro/pt-br/cookie","x-default","https://detectordeia.pro/cookie","","","Indexable",""
"https://detectordeia.pro/refund","Política de Reembolsos | VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/refund","en","https://detectordeia.pro/en/refund","pt-br","https://detectordeia.pro/pt-br/refund","es","https://detectordeia.pro/refund","en","https://detectordeia.pro/en/refund","pt-br","https://detectordeia.pro/pt-br/refund","x-default","https://detectordeia.pro/refund","","","Indexable",""
"https://detectordeia.pro/text-compare","Comparador de textos online rápido y claro | VeriIA","7","es","https://detectordeia.pro/text-compare","en","https://detectordeia.pro/en/text-compare","pt-br","https://detectordeia.pro/pt-br/text-compare","es","https://detectordeia.pro/text-compare","en","https://detectordeia.pro/en/text-compare","pt-br","https://detectordeia.pro/pt-br/text-compare","x-default","https://detectordeia.pro/text-compare","","","Indexable",""
"https://detectordeia.pro/pricing","Planes de precios del detector de IA | VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/pricing","en","https://detectordeia.pro/en/pricing","pt-br","https://detectordeia.pro/pt-br/pricing","es","https://detectordeia.pro/pricing","en","https://detectordeia.pro/en/pricing","pt-br","https://detectordeia.pro/pt-br/pricing","x-default","https://detectordeia.pro/pricing","","","Indexable",""
"https://detectordeia.pro/ai-summarizer","Resumidor de textos con IA gratis | VeriIA","7","es","https://detectordeia.pro/ai-summarizer","en","https://detectordeia.pro/en/ai-summarizer","pt-br","https://detectordeia.pro/pt-br/ai-summarizer","es","https://detectordeia.pro/ai-summarizer","en","https://detectordeia.pro/en/ai-summarizer","pt-br","https://detectordeia.pro/pt-br/ai-summarizer","x-default","https://detectordeia.pro/ai-summarizer","","","Indexable",""
"https://detectordeia.pro/ai-humanizer","Humanizador de IA – Haz que el texto suene humano | VeriIA","7","es","https://detectordeia.pro/ai-humanizer","en","https://detectordeia.pro/en/ai-humanizer","pt-br","https://detectordeia.pro/pt-br/ai-humanizer","es","https://detectordeia.pro/ai-humanizer","en","https://detectordeia.pro/en/ai-humanizer","pt-br","https://detectordeia.pro/pt-br/ai-humanizer","x-default","https://detectordeia.pro/ai-humanizer","","","Indexable",""
"https://detectordeia.pro/terms","Términos de Uso | VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/terms","en","https://detectordeia.pro/en/terms","pt-br","https://detectordeia.pro/pt-br/terms","es","https://detectordeia.pro/terms","en","https://detectordeia.pro/en/terms","pt-br","https://detectordeia.pro/pt-br/terms","x-default","https://detectordeia.pro/terms","","","Indexable",""
"https://detectordeia.pro/plagiarism-detector","Detector de plagio online rápido y preciso | VeriIA","7","es","https://detectordeia.pro/plagiarism-detector","en","https://detectordeia.pro/en/plagiarism-detector","pt-br","https://detectordeia.pro/pt-br/plagiarism-detector","es","https://detectordeia.pro/plagiarism-detector","en","https://detectordeia.pro/en/plagiarism-detector","pt-br","https://detectordeia.pro/pt-br/plagiarism-detector","x-default","https://detectordeia.pro/plagiarism-detector","","","Indexable",""
"https://detectordeia.pro/auth/login?callbackUrl=%2Fdashboard","Login | VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/auth/login","en","https://detectordeia.pro/en/auth/login","pt-br","https://detectordeia.pro/pt-br/auth/login","es","https://detectordeia.pro/auth/login","en","https://detectordeia.pro/en/auth/login","pt-br","https://detectordeia.pro/pt-br/auth/login","x-default","https://detectordeia.pro/auth/login","","","Non-Indexable","Canonicalised"
"https://detectordeia.pro/word-counter","Contador de palabras online rápido y preciso | VeriIA","7","es","https://detectordeia.pro/word-counter","en","https://detectordeia.pro/en/word-counter","pt-br","https://detectordeia.pro/pt-br/word-counter","es","https://detectordeia.pro/word-counter","en","https://detectordeia.pro/en/word-counter","pt-br","https://detectordeia.pro/pt-br/word-counter","x-default","https://detectordeia.pro/word-counter","","","Indexable",""
"https://detectordeia.pro/auth/register","Register | VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/auth/register","en","https://detectordeia.pro/en/auth/register","pt-br","https://detectordeia.pro/pt-br/auth/register","es","https://detectordeia.pro/auth/register","en","https://detectordeia.pro/en/auth/register","pt-br","https://detectordeia.pro/pt-br/auth/register","x-default","https://detectordeia.pro/auth/register","","","Indexable",""
"https://detectordeia.pro/auth/login","Login | VeriIA | Detector de IA para contenido profesional","7","es","https://detectordeia.pro/auth/login","en","https://detectordeia.pro/en/auth/login","pt-br","https://detectordeia.pro/pt-br/auth/login","es","https://detectordeia.pro/auth/login","en","https://detectordeia.pro/en/auth/login","pt-br","https://detectordeia.pro/pt-br/auth/login","x-default","https://detectordeia.pro/auth/login","","","Indexable",""
"https://detectordeia.pro/apa-generator","Generador APA gratis para citas y referencias APA 7","7","es","https://detectordeia.pro/apa-generator","en","https://detectordeia.pro/en/apa-generator","pt-br","https://detectordeia.pro/pt-br/apa-generator","es","https://detectordeia.pro/apa-generator","en","https://detectordeia.pro/en/apa-generator","pt-br","https://detectordeia.pro/pt-br/apa-generator","x-default","https://detectordeia.pro/apa-generator","","","Indexable",""
